gender,age,person_id,became_member_on,income,age_units10,age_units5,join_year,join_month,join_day,now,join_period,income_rank,total_buy
M,66,21c73d53e2,2016-01-24,49000.0,60,65,2016,1,24,2021-07-26,2010,income_4th,200.93
F,19,1abeb816d9,2016-10-15,73000.0,10,15,2016,10,15,2021-07-26,1745,income_3th,202.75
F,66,92e07c49ee,2018-02-16,58000.0,60,65,2018,2,16,2021-07-26,1256,income_3th,163.53000000000003
F,72,f8aedd0cbe,2016-08-11,72000.0,70,70,2016,8,11,2021-07-26,1810,income_3th,201.92000000000002
M,76,a9780228a1,2016-04-07,63000.0,70,75,2016,4,7,2021-07-26,1936,income_3th,224.75999999999996
M,52,94f14dcfed,2017-05-15,78000.0,50,50,2017,5,15,2021-07-26,1533,income_2th,117.91999999999999
M,55,8a4bc602e4,2017-12-10,31000.0,50,55,2017,12,10,2021-07-26,1324,income_4th,30.73
F,39,6d28f18e91,2017-09-19,60000.0,30,35,2017,9,19,2021-07-26,1406,income_3th,705.5
F,45,52f0bd6440,2016-01-26,44000.0,40,45,2016,1,26,2021-07-26,2008,income_4th,163.70999999999998
F,57,93e6794258,2017-07-04,114000.0,50,55,2017,7,4,2021-07-26,1483,income_1th,184.82
M,74,e641af076c,2018-07-12,48000.0,70,70,2018,7,12,2021-07-26,1110,income_4th,6.86
M,18,716a961d2a,2016-07-27,47000.0,10,15,2016,7,27,2021-07-26,1825,income_4th,275.61000000000007
M,53,13033baa9d,2017-09-27,96000.0,50,50,2017,9,27,2021-07-26,1398,income_2th,138.84
F,59,15953663ab,2017-09-10,98000.0,50,55,2017,9,10,2021-07-26,1415,income_2th,112.04
M,57,0ac5ffb0f1,2014-11-04,46000.0,50,55,2014,11,4,2021-07-26,2456,income_4th,34.22
F,51,1a353048b0,2017-08-13,56000.0,50,50,2017,8,13,2021-07-26,1443,income_3th,40.94
F,64,2cf5895bdd,2017-10-20,37000.0,60,60,2017,10,20,2021-07-26,1375,income_4th,51.37000000000001
M,71,6747dda08b,2017-01-29,57000.0,70,70,2017,1,29,2021-07-26,1639,income_3th,30.14
F,64,f35b342b24,2017-04-21,66000.0,60,60,2017,4,21,2021-07-26,1557,income_3th,50.349999999999994
M,83,4c29d22467,2018-01-27,46000.0,80,80,2018,1,27,2021-07-26,1276,income_4th,16.77
M,26,e997a086fc,2017-12-11,71000.0,20,25,2017,12,11,2021-07-26,1323,income_3th,13.8
F,29,17af917bb8,2018-03-21,58000.0,20,25,2018,3,21,2021-07-26,1223,income_3th,30.479999999999993
M,43,bf8d7498eb,2017-09-15,70000.0,40,40,2017,9,15,2021-07-26,1410,income_3th,2.03
F,89,3dae0eadb4,2018-01-14,65000.0,80,85,2018,1,14,2021-07-26,1289,income_3th,124.82000000000001
F,49,5404741ead,2018-05-18,79000.0,40,45,2018,5,18,2021-07-26,1165,income_2th,24.93
M,79,81e9ad5fa5,2016-06-27,67000.0,70,75,2016,6,27,2021-07-26,1855,income_3th,317.03000000000003
F,55,b2f1cd155b,2017-10-16,94000.0,50,55,2017,10,16,2021-07-26,1379,income_2th,195.35000000000002
M,55,37a97f6e09,2017-12-03,66000.0,50,55,2017,12,3,2021-07-26,1331,income_3th,272.23
M,45,77927096ab,2017-10-07,31000.0,40,45,2017,10,7,2021-07-26,1388,income_4th,16.459999999999997
M,52,acbc358a8b,2018-01-30,30000.0,50,50,2018,1,30,2021-07-26,1273,income_4th,9.8
M,39,8ca29d07b3,2016-04-04,55000.0,30,35,2016,4,4,2021-07-26,1939,income_3th,156.54
M,77,88baa20c29,2018-07-02,69000.0,70,75,2018,7,2,2021-07-26,1120,income_3th,60.25
M,66,a2bd377c7a,2018-07-09,60000.0,60,65,2018,7,9,2021-07-26,1113,income_3th,30.9
F,69,23f9e3baf4,2017-09-27,87000.0,60,65,2017,9,27,2021-07-26,1398,income_2th,53.21
M,74,8486e692a5,2014-08-20,53000.0,70,70,2014,8,20,2021-07-26,2532,income_3th,55.13
F,75,49f22e86d2,2018-07-12,87000.0,70,75,2018,7,12,2021-07-26,1110,income_2th,114.69999999999999
F,59,28de174a5c,2015-09-09,85000.0,50,55,2015,9,9,2021-07-26,2147,income_2th,193.10000000000002
M,47,a1eb338ccb,2013-12-30,66000.0,40,45,2013,12,30,2021-07-26,2765,income_3th,74.17
M,20,220a39cdfd,2018-05-28,69000.0,20,20,2018,5,28,2021-07-26,1155,income_3th,0.87
M,60,0c89378f14,2017-04-26,108000.0,60,60,2017,4,26,2021-07-26,1552,income_1th,127.28
M,65,464d2302b9,2018-03-15,61000.0,60,65,2018,3,15,2021-07-26,1229,income_3th,24.0
M,33,3f36bc1d5f,2015-04-21,43000.0,30,30,2015,4,21,2021-07-26,2288,income_4th,19.78
F,39,fe97aa22dd,2017-12-17,67000.0,30,35,2017,12,17,2021-07-26,1317,income_3th,562.77
M,49,dbca75f289,2018-06-02,59000.0,40,45,2018,6,2,2021-07-26,1150,income_3th,38.260000000000005
M,68,c863af14b3,2018-02-07,58000.0,60,65,2018,2,7,2021-07-26,1265,income_3th,17.19
M,42,d7dc31e069,2017-02-09,80000.0,40,40,2017,2,9,2021-07-26,1628,income_2th,53.74000000000001
M,72,1827da57bb,2018-06-01,33000.0,70,70,2018,6,1,2021-07-26,1151,income_4th,8.14
F,18,721eb06ac2,2017-05-24,49000.0,10,15,2017,5,24,2021-07-26,1524,income_4th,30.47
F,32,d594b1f288,2018-06-28,42000.0,30,30,2018,6,28,2021-07-26,1124,income_4th,71.19
M,67,0f54094029,2017-08-28,50000.0,60,65,2017,8,28,2021-07-26,1428,income_4th,33.07
M,52,5f18c5754d,2018-07-04,42000.0,50,50,2018,7,4,2021-07-26,1118,income_4th,5.4
M,38,d8567f1400,2017-10-19,64000.0,30,35,2017,10,19,2021-07-26,1376,income_3th,150.94
F,60,30fae86966,2018-03-16,77000.0,60,60,2018,3,16,2021-07-26,1228,income_2th,106.91
F,62,fd700397b7,2017-12-22,77000.0,60,60,2017,12,22,2021-07-26,1312,income_2th,33.46
F,55,4293153650,2018-07-08,51000.0,50,55,2018,7,8,2021-07-26,1114,income_3th,25.9
M,22,2ce2e03319,2018-04-28,63000.0,20,20,2018,4,28,2021-07-26,1185,income_3th,19.799999999999997
M,34,4d15a2a5ac,2017-12-06,41000.0,30,30,2017,12,6,2021-07-26,1328,income_4th,118.41
M,46,127cd9d95e,2014-12-14,60000.0,40,45,2014,12,14,2021-07-26,2416,income_3th,105.58000000000001
M,85,4e233f02ef,2018-07-26,67000.0,80,85,2018,7,26,2021-07-26,1096,income_3th,22.179999999999996
F,51,3ecb372184,2017-03-16,85000.0,50,50,2017,3,16,2021-07-26,1593,income_2th,180.0
F,53,8a37057f57,2016-04-27,85000.0,50,50,2016,4,27,2021-07-26,1916,income_2th,177.09
M,51,11da2f066d,2016-08-10,92000.0,50,50,2016,8,10,2021-07-26,1811,income_2th,330.9200000000001
M,48,21b02228cd,2015-06-01,44000.0,40,45,2015,6,1,2021-07-26,2247,income_4th,58.17999999999999
M,52,629fc02d56,2018-06-05,72000.0,50,50,2018,6,5,2021-07-26,1147,income_3th,66.05
M,62,c87b50fcdd,2016-03-05,53000.0,60,60,2016,3,5,2021-07-26,1969,income_3th,125.55999999999999
M,42,91dc71c4e9,2018-03-25,62000.0,40,40,2018,3,25,2021-07-26,1219,income_3th,12.120000000000001
M,55,3bd5ba038a,2017-10-25,65000.0,50,55,2017,10,25,2021-07-26,1370,income_3th,16.69
F,27,9221428696,2015-09-15,50000.0,20,25,2015,9,15,2021-07-26,2141,income_4th,89.78
M,68,37155a5f4f,2018-05-30,107000.0,60,65,2018,5,30,2021-07-26,1153,income_1th,253.72000000000003
F,74,c84fe4915e,2017-12-20,83000.0,70,70,2017,12,20,2021-07-26,1314,income_2th,25.69
M,77,041fd7c6b7,2014-10-11,66000.0,70,75,2014,10,11,2021-07-26,2480,income_3th,87.12999999999998
M,35,9e91e04b9a,2018-01-18,72000.0,30,35,2018,1,18,2021-07-26,1285,income_3th,261.56
F,50,348bdc19d6,2017-11-08,69000.0,50,50,2017,11,8,2021-07-26,1356,income_3th,184.96
M,45,c74beaa959,2015-10-27,94000.0,40,45,2015,10,27,2021-07-26,2099,income_2th,162.90999999999997
M,82,c79da41557,2016-12-31,87000.0,80,80,2016,12,31,2021-07-26,1668,income_2th,155.64000000000001
M,40,8cc1a1bd30,2013-12-22,57000.0,40,40,2013,12,22,2021-07-26,2773,income_3th,79.94999999999999
M,66,83e2ccc1d4,2018-06-17,34000.0,60,65,2018,6,17,2021-07-26,1135,income_4th,10.6
M,52,17c803219d,2018-04-11,63000.0,50,50,2018,4,11,2021-07-26,1202,income_3th,6.18
F,57,791ffe6d3d,2016-03-29,89000.0,50,55,2016,3,29,2021-07-26,1945,income_2th,226.68
M,68,2204f8ff96,2016-06-29,69000.0,60,65,2016,6,29,2021-07-26,1853,income_3th,143.03
M,21,0b9cac742f,2018-03-03,52000.0,20,20,2018,3,3,2021-07-26,1241,income_3th,13.98
M,61,b818e95545,2017-08-15,44000.0,60,60,2017,8,15,2021-07-26,1441,income_4th,17.7
F,58,a9ecb39d93,2018-03-17,54000.0,50,55,2018,3,17,2021-07-26,1227,income_3th,21.500000000000004
F,67,0d18c37c8b,2018-06-14,54000.0,60,65,2018,6,14,2021-07-26,1138,income_3th,17.38
M,24,d250372c92,2017-02-12,61000.0,20,20,2017,2,12,2021-07-26,1625,income_3th,155.42000000000002
M,26,3cea9c09fe,2017-11-17,35000.0,20,25,2017,11,17,2021-07-26,1347,income_4th,10.1
F,71,87efa556dd,2017-12-07,105000.0,70,70,2017,12,7,2021-07-26,1327,income_1th,212.27
F,69,4e4c47b460,2017-12-12,64000.0,60,65,2017,12,12,2021-07-26,1322,income_3th,146.49
M,62,d1a6fe4c24,2016-04-05,73000.0,60,60,2016,4,5,2021-07-26,1938,income_3th,232.19000000000003
M,38,1eed89c11c,2017-07-09,74000.0,30,35,2017,7,9,2021-07-26,1478,income_3th,796.77
M,61,3f279ee9fd,2017-09-26,82000.0,60,60,2017,9,26,2021-07-26,1399,income_2th,62.650000000000006
F,52,2d40e25b82,2017-08-09,92000.0,50,50,2017,8,9,2021-07-26,1447,income_2th,23.59
M,50,9df2790f06,2017-12-25,70000.0,50,50,2017,12,25,2021-07-26,1309,income_3th,218.67000000000002
M,54,ae47fbe72b,2017-02-16,118000.0,50,50,2017,2,16,2021-07-26,1621,income_1th,185.60999999999999
F,75,018b8f8317,2018-05-02,109000.0,70,75,2018,5,2,2021-07-26,1181,income_1th,37.04
M,82,d2e88e95c0,2018-03-19,73000.0,80,80,2018,3,19,2021-07-26,1225,income_3th,36.3
M,64,aa4a681ea1,2018-07-20,38000.0,60,60,2018,7,20,2021-07-26,1102,income_4th,10.54
F,54,ae40f2f496,2015-10-06,99000.0,50,50,2015,10,6,2021-07-26,2120,income_2th,163.17999999999998
M,82,5a3d291f75,2018-01-08,72000.0,80,80,2018,1,8,2021-07-26,1295,income_3th,16.43
M,90,bf2c086d4c,2018-05-09,45000.0,90,90,2018,5,9,2021-07-26,1174,income_4th,10.759999999999998
F,34,5b9c1a35c0,2018-04-17,67000.0,30,30,2018,4,17,2021-07-26,1196,income_3th,19.060000000000002
M,44,ad3c443c9c,2018-07-18,53000.0,40,40,2018,7,18,2021-07-26,1104,income_3th,69.32000000000001
F,58,73c157a4b8,2016-12-31,95000.0,50,55,2016,12,31,2021-07-26,1668,income_2th,321.03000000000003
F,47,e737ff5911,2016-01-05,74000.0,40,45,2016,1,5,2021-07-26,2029,income_3th,254.69
F,60,9cb34ff9de,2017-11-17,59000.0,60,60,2017,11,17,2021-07-26,1347,income_3th,24.6
M,83,32189735a9,2017-08-07,54000.0,80,80,2017,8,7,2021-07-26,1449,income_3th,164.78999999999996
M,89,2c5c71b7bf,2015-09-17,101000.0,80,85,2015,9,17,2021-07-26,2139,income_1th,160.51999999999998
M,68,307245a520,2016-03-05,62000.0,60,65,2016,3,5,2021-07-26,1969,income_3th,142.3
F,63,eb834c0938,2017-11-27,110000.0,60,60,2017,11,27,2021-07-26,1337,income_1th,102.66999999999999
F,40,f93884685d,2018-07-06,51000.0,40,40,2018,7,6,2021-07-26,1116,income_3th,72.2
F,79,341276cb09,2017-12-17,99000.0,70,75,2017,12,17,2021-07-26,1317,income_2th,161.85
M,71,1817451903,2018-03-21,30000.0,70,70,2018,3,21,2021-07-26,1223,income_4th,12.49
F,76,978d48db5c,2015-09-06,114000.0,70,75,2015,9,6,2021-07-26,2150,income_1th,183.17999999999998
M,89,2f442d5255,2016-05-28,96000.0,80,85,2016,5,28,2021-07-26,1885,income_2th,140.53
M,63,044f41cfd9,2017-07-29,36000.0,60,60,2017,7,29,2021-07-26,1458,income_4th,12.159999999999998
F,71,8c410d84af,2018-04-08,56000.0,70,70,2018,4,8,2021-07-26,1205,income_3th,164.16
M,44,09e7e40eb8,2017-10-11,36000.0,40,40,2017,10,11,2021-07-26,1384,income_4th,21.560000000000002
M,25,97b2476046,2016-04-06,73000.0,20,25,2016,4,6,2021-07-26,1937,income_3th,69.87
M,27,0ad8a9771c,2018-03-27,70000.0,20,25,2018,3,27,2021-07-26,1217,income_3th,13.290000000000001
M,67,2a01c11fdc,2018-02-12,106000.0,60,65,2018,2,12,2021-07-26,1260,income_1th,171.87
F,77,78e9be059f,2016-02-19,80000.0,70,75,2016,2,19,2021-07-26,1984,income_2th,222.36
F,68,ad4fd34e9f,2015-12-29,66000.0,60,65,2015,12,29,2021-07-26,2036,income_3th,145.28000000000003
M,37,0e4e14ea66,2016-04-20,64000.0,30,35,2016,4,20,2021-07-26,1923,income_3th,261.37
M,55,ace4a7611d,2016-03-23,60000.0,50,55,2016,3,23,2021-07-26,1951,income_3th,15.329999999999998
M,30,c894971c9e,2016-09-03,54000.0,30,30,2016,9,3,2021-07-26,1787,income_3th,700.4699999999998
M,51,e277228d77,2015-08-15,54000.0,50,50,2015,8,15,2021-07-26,2172,income_3th,252.22999999999996
F,47,f20277feaa,2018-07-12,92000.0,40,45,2018,7,12,2021-07-26,1110,income_2th,66.15
M,49,6f04a68e93,2018-02-04,48000.0,40,45,2018,2,4,2021-07-26,1268,income_4th,19.24
M,32,27aa749a6f,2015-10-08,38000.0,30,30,2015,10,8,2021-07-26,2118,income_4th,172.35
M,30,ba9fb3e4a7,2017-04-18,69000.0,30,30,2017,4,18,2021-07-26,1560,income_3th,167.79
M,47,00c6035df4,2017-02-25,86000.0,40,45,2017,2,25,2021-07-26,1612,income_2th,241.54999999999998
M,34,fffad4f482,2017-01-23,34000.0,30,30,2017,1,23,2021-07-26,1645,income_4th,88.83
F,78,a1ad0bbe76,2017-06-04,101000.0,70,75,2017,6,4,2021-07-26,1513,income_1th,187.29
F,85,50fb5c0c6b,2016-03-02,71000.0,80,85,2016,3,2,2021-07-26,1972,income_3th,274.17
F,75,a97e6f3321,2013-08-06,69000.0,70,75,2013,8,6,2021-07-26,2911,income_3th,121.86000000000001
F,76,c6a2cd4fdc,2017-03-11,71000.0,70,75,2017,3,11,2021-07-26,1598,income_3th,240.14000000000001
F,89,4c0b938c4e,2015-07-22,59000.0,80,85,2015,7,22,2021-07-26,2196,income_3th,56.519999999999996
M,58,4de38d89a9,2018-01-29,70000.0,50,55,2018,1,29,2021-07-26,1274,income_3th,30.410000000000004
M,23,5ad59daa0d,2017-10-30,49000.0,20,20,2017,10,30,2021-07-26,1365,income_4th,74.96000000000001
M,58,2b91e3c00a,2017-09-16,53000.0,50,55,2017,9,16,2021-07-26,1409,income_3th,122.65
F,64,23bc15e276,2015-10-12,95000.0,60,60,2015,10,12,2021-07-26,2114,income_2th,179.98
M,72,da6c95e567,2017-09-09,39000.0,70,70,2017,9,9,2021-07-26,1416,income_4th,96.14
F,66,fae3fbe975,2017-08-11,72000.0,60,65,2017,8,11,2021-07-26,1445,income_3th,113.85
F,49,7798d98a07,2017-08-09,68000.0,40,45,2017,8,9,2021-07-26,1447,income_3th,14.489999999999998
M,43,b21beefac7,2017-04-13,71000.0,40,40,2017,4,13,2021-07-26,1565,income_3th,204.50000000000003
M,58,932715eb8a,2018-07-17,39000.0,50,55,2018,7,17,2021-07-26,1105,income_4th,5.04
M,43,cac7e2d5e1,2017-08-06,76000.0,40,40,2017,8,6,2021-07-26,1450,income_2th,157.16
F,56,203831402e,2017-03-29,87000.0,50,55,2017,3,29,2021-07-26,1580,income_2th,223.45999999999998
F,69,816f33d96b,2017-10-16,118000.0,60,65,2017,10,16,2021-07-26,1379,income_1th,54.1
O,60,d0be9ff460,2018-02-16,94000.0,60,60,2018,2,16,2021-07-26,1256,income_2th,857.75
M,81,327d08559d,2016-06-01,70000.0,80,80,2016,6,1,2021-07-26,1881,income_3th,153.94
M,42,c610bd0061,2017-04-03,91000.0,40,40,2017,4,3,2021-07-26,1575,income_2th,139.98
M,75,716cff13fc,2015-01-10,71000.0,70,75,2015,1,10,2021-07-26,2389,income_3th,50.56000000000001
M,62,c05652fa9d,2018-01-27,73000.0,60,60,2018,1,27,2021-07-26,1276,income_3th,27.229999999999997
F,55,fbc039723b,2016-05-05,54000.0,50,55,2016,5,5,2021-07-26,1908,income_3th,220.47
M,65,e1103f6b4c,2017-10-11,39000.0,60,65,2017,10,11,2021-07-26,1384,income_4th,82.42
M,52,b6905df363,2017-02-27,46000.0,50,50,2017,2,27,2021-07-26,1610,income_4th,141.64
F,30,2c3a4de659,2017-10-15,40000.0,30,30,2017,10,15,2021-07-26,1380,income_4th,110.78999999999999
F,74,28416e7d96,2015-09-24,75000.0,70,70,2015,9,24,2021-07-26,2132,income_3th,99.47
F,100,24c1287eb7,2015-08-28,63000.0,100,100,2015,8,28,2021-07-26,2159,income_3th,217.62
F,26,a4579681ff,2017-03-24,40000.0,20,25,2017,3,24,2021-07-26,1585,income_4th,610.52
F,56,8a04ab4063,2016-03-28,53000.0,50,55,2016,3,28,2021-07-26,1946,income_3th,83.71000000000001
M,50,393e6938e7,2014-10-15,90000.0,50,50,2014,10,15,2021-07-26,2476,income_2th,99.58
M,73,62fb072537,2017-10-08,95000.0,70,70,2017,10,8,2021-07-26,1387,income_2th,71.44
F,49,0acaa564f1,2017-12-10,74000.0,40,45,2017,12,10,2021-07-26,1324,income_3th,100.63
M,37,585fb2dc60,2016-01-09,50000.0,30,35,2016,1,9,2021-07-26,2025,income_4th,125.62
M,65,9b0e7b326e,2016-02-12,57000.0,60,65,2016,2,12,2021-07-26,1991,income_3th,308.00999999999993
F,64,aec532a91d,2016-02-25,81000.0,60,60,2016,2,25,2021-07-26,1978,income_2th,189.79000000000002
F,48,9c64321646,2016-10-14,53000.0,40,45,2016,10,14,2021-07-26,1746,income_3th,55.989999999999995
M,20,4e6eb10de9,2015-08-12,32000.0,20,20,2015,8,12,2021-07-26,2175,income_4th,93.69999999999999
M,46,e89dce9d75,2018-07-23,40000.0,40,45,2018,7,23,2021-07-26,1099,income_4th,127.31
M,24,e08a264dc9,2015-04-27,69000.0,20,20,2015,4,27,2021-07-26,2282,income_3th,67.32
