gender,age,person_id,became_member_on,income,age_units10,age_units5,join_year,join_month,join_day,now,join_period
F,61,fb98ebe9e3,2017-11-10,112000.0,60,60,2017,11,10,2021-07-26,1354
F,67,5cd6577aca,2016-09-10,77000.0,60,65,2016,9,10,2021-07-26,1780
F,58,99e9a19168,2018-01-25,85000.0,50,55,2018,1,25,2021-07-26,1278
F,46,e528ceb341,2018-06-29,36000.0,40,45,2018,6,29,2021-07-26,1123
M,30,faf74115a4,2017-12-02,41000.0,30,30,2017,12,2,2021-07-26,1332
M,59,0b73997a26,2017-08-20,89000.0,50,55,2017,8,20,2021-07-26,1436
M,51,f44b44b53c,2015-12-31,41000.0,50,50,2015,12,31,2021-07-26,2034
M,27,6e04a90a0e,2018-01-10,35000.0,20,25,2018,1,10,2021-07-26,1293
M,40,262ad0fb52,2018-02-27,53000.0,40,40,2018,2,27,2021-07-26,1245
F,73,a2b7a0b348,2018-04-19,91000.0,70,70,2018,4,19,2021-07-26,1194
F,74,2c5c63e512,2015-12-24,107000.0,70,70,2015,12,24,2021-07-26,2041
M,42,9d6da0a2ac,2015-11-21,66000.0,40,40,2015,11,21,2021-07-26,2074
M,78,571b739ada,2015-11-11,58000.0,70,75,2015,11,11,2021-07-26,2084
F,54,816afd4505,2016-12-25,53000.0,50,50,2016,12,25,2021-07-26,1674
F,70,13b7b2eccf,2018-06-13,74000.0,70,70,2018,6,13,2021-07-26,1139
F,49,68eee22871,2017-04-08,57000.0,40,45,2017,4,8,2021-07-26,1570
F,62,ffc6c9fbe3,2018-04-10,57000.0,60,60,2018,4,10,2021-07-26,1203
M,64,cbebad9819,2017-03-05,70000.0,60,60,2017,3,5,2021-07-26,1604
F,89,4264b1d027,2017-11-14,87000.0,80,85,2017,11,14,2021-07-26,1350
M,73,0ba6e2ad78,2018-04-01,51000.0,70,70,2018,4,1,2021-07-26,1212
F,50,b5abc1e85b,2017-05-06,93000.0,50,50,2017,5,6,2021-07-26,1542
F,90,1c587de019,2015-12-10,98000.0,90,90,2015,12,10,2021-07-26,2055
F,68,3f4e408b0b,2016-07-31,84000.0,60,65,2016,7,31,2021-07-26,1821
M,60,13bda8fbd7,2017-02-06,64000.0,60,60,2017,2,6,2021-07-26,1631
M,45,b19c8e7ac2,2017-08-15,54000.0,40,45,2017,8,15,2021-07-26,1441
M,66,21c73d53e2,2016-01-24,49000.0,60,65,2016,1,24,2021-07-26,2010
F,19,1abeb816d9,2016-10-15,73000.0,10,15,2016,10,15,2021-07-26,1745
F,66,92e07c49ee,2018-02-16,58000.0,60,65,2018,2,16,2021-07-26,1256
F,72,f8aedd0cbe,2016-08-11,72000.0,70,70,2016,8,11,2021-07-26,1810
M,76,a9780228a1,2016-04-07,63000.0,70,75,2016,4,7,2021-07-26,1936
M,52,94f14dcfed,2017-05-15,78000.0,50,50,2017,5,15,2021-07-26,1533
M,55,8a4bc602e4,2017-12-10,31000.0,50,55,2017,12,10,2021-07-26,1324
F,39,6d28f18e91,2017-09-19,60000.0,30,35,2017,9,19,2021-07-26,1406
F,45,52f0bd6440,2016-01-26,44000.0,40,45,2016,1,26,2021-07-26,2008
F,57,93e6794258,2017-07-04,114000.0,50,55,2017,7,4,2021-07-26,1483
M,74,e641af076c,2018-07-12,48000.0,70,70,2018,7,12,2021-07-26,1110
M,18,716a961d2a,2016-07-27,47000.0,10,15,2016,7,27,2021-07-26,1825
M,53,13033baa9d,2017-09-27,96000.0,50,50,2017,9,27,2021-07-26,1398
F,59,15953663ab,2017-09-10,98000.0,50,55,2017,9,10,2021-07-26,1415
M,57,0ac5ffb0f1,2014-11-04,46000.0,50,55,2014,11,4,2021-07-26,2456
F,51,1a353048b0,2017-08-13,56000.0,50,50,2017,8,13,2021-07-26,1443
F,64,2cf5895bdd,2017-10-20,37000.0,60,60,2017,10,20,2021-07-26,1375
M,71,6747dda08b,2017-01-29,57000.0,70,70,2017,1,29,2021-07-26,1639
F,64,f35b342b24,2017-04-21,66000.0,60,60,2017,4,21,2021-07-26,1557
M,83,4c29d22467,2018-01-27,46000.0,80,80,2018,1,27,2021-07-26,1276
M,26,e997a086fc,2017-12-11,71000.0,20,25,2017,12,11,2021-07-26,1323
F,29,17af917bb8,2018-03-21,58000.0,20,25,2018,3,21,2021-07-26,1223
M,43,bf8d7498eb,2017-09-15,70000.0,40,40,2017,9,15,2021-07-26,1410
F,89,3dae0eadb4,2018-01-14,65000.0,80,85,2018,1,14,2021-07-26,1289
F,49,5404741ead,2018-05-18,79000.0,40,45,2018,5,18,2021-07-26,1165
M,79,81e9ad5fa5,2016-06-27,67000.0,70,75,2016,6,27,2021-07-26,1855
F,55,b2f1cd155b,2017-10-16,94000.0,50,55,2017,10,16,2021-07-26,1379
M,55,37a97f6e09,2017-12-03,66000.0,50,55,2017,12,3,2021-07-26,1331
M,45,77927096ab,2017-10-07,31000.0,40,45,2017,10,7,2021-07-26,1388
M,52,acbc358a8b,2018-01-30,30000.0,50,50,2018,1,30,2021-07-26,1273
M,39,8ca29d07b3,2016-04-04,55000.0,30,35,2016,4,4,2021-07-26,1939
M,77,88baa20c29,2018-07-02,69000.0,70,75,2018,7,2,2021-07-26,1120
M,66,a2bd377c7a,2018-07-09,60000.0,60,65,2018,7,9,2021-07-26,1113
F,69,23f9e3baf4,2017-09-27,87000.0,60,65,2017,9,27,2021-07-26,1398
M,74,8486e692a5,2014-08-20,53000.0,70,70,2014,8,20,2021-07-26,2532
F,75,49f22e86d2,2018-07-12,87000.0,70,75,2018,7,12,2021-07-26,1110
F,59,28de174a5c,2015-09-09,85000.0,50,55,2015,9,9,2021-07-26,2147
M,47,a1eb338ccb,2013-12-30,66000.0,40,45,2013,12,30,2021-07-26,2765
M,20,220a39cdfd,2018-05-28,69000.0,20,20,2018,5,28,2021-07-26,1155
M,60,0c89378f14,2017-04-26,108000.0,60,60,2017,4,26,2021-07-26,1552
M,65,464d2302b9,2018-03-15,61000.0,60,65,2018,3,15,2021-07-26,1229
M,33,3f36bc1d5f,2015-04-21,43000.0,30,30,2015,4,21,2021-07-26,2288
F,39,fe97aa22dd,2017-12-17,67000.0,30,35,2017,12,17,2021-07-26,1317
M,49,dbca75f289,2018-06-02,59000.0,40,45,2018,6,2,2021-07-26,1150
M,68,c863af14b3,2018-02-07,58000.0,60,65,2018,2,7,2021-07-26,1265
M,42,d7dc31e069,2017-02-09,80000.0,40,40,2017,2,9,2021-07-26,1628
M,72,1827da57bb,2018-06-01,33000.0,70,70,2018,6,1,2021-07-26,1151
F,18,721eb06ac2,2017-05-24,49000.0,10,15,2017,5,24,2021-07-26,1524
F,32,d594b1f288,2018-06-28,42000.0,30,30,2018,6,28,2021-07-26,1124
M,67,0f54094029,2017-08-28,50000.0,60,65,2017,8,28,2021-07-26,1428
M,52,5f18c5754d,2018-07-04,42000.0,50,50,2018,7,4,2021-07-26,1118
M,38,d8567f1400,2017-10-19,64000.0,30,35,2017,10,19,2021-07-26,1376
F,60,30fae86966,2018-03-16,77000.0,60,60,2018,3,16,2021-07-26,1228
F,62,fd700397b7,2017-12-22,77000.0,60,60,2017,12,22,2021-07-26,1312
F,55,4293153650,2018-07-08,51000.0,50,55,2018,7,8,2021-07-26,1114
M,22,2ce2e03319,2018-04-28,63000.0,20,20,2018,4,28,2021-07-26,1185
M,34,4d15a2a5ac,2017-12-06,41000.0,30,30,2017,12,6,2021-07-26,1328
M,46,127cd9d95e,2014-12-14,60000.0,40,45,2014,12,14,2021-07-26,2416
M,85,4e233f02ef,2018-07-26,67000.0,80,85,2018,7,26,2021-07-26,1096
F,51,3ecb372184,2017-03-16,85000.0,50,50,2017,3,16,2021-07-26,1593
F,53,8a37057f57,2016-04-27,85000.0,50,50,2016,4,27,2021-07-26,1916
M,51,11da2f066d,2016-08-10,92000.0,50,50,2016,8,10,2021-07-26,1811
M,48,21b02228cd,2015-06-01,44000.0,40,45,2015,6,1,2021-07-26,2247
M,52,629fc02d56,2018-06-05,72000.0,50,50,2018,6,5,2021-07-26,1147
M,62,c87b50fcdd,2016-03-05,53000.0,60,60,2016,3,5,2021-07-26,1969
M,42,91dc71c4e9,2018-03-25,62000.0,40,40,2018,3,25,2021-07-26,1219
M,55,3bd5ba038a,2017-10-25,65000.0,50,55,2017,10,25,2021-07-26,1370
F,27,9221428696,2015-09-15,50000.0,20,25,2015,9,15,2021-07-26,2141
M,68,37155a5f4f,2018-05-30,107000.0,60,65,2018,5,30,2021-07-26,1153
F,74,c84fe4915e,2017-12-20,83000.0,70,70,2017,12,20,2021-07-26,1314
M,77,041fd7c6b7,2014-10-11,66000.0,70,75,2014,10,11,2021-07-26,2480
M,35,9e91e04b9a,2018-01-18,72000.0,30,35,2018,1,18,2021-07-26,1285
F,50,348bdc19d6,2017-11-08,69000.0,50,50,2017,11,8,2021-07-26,1356
M,45,c74beaa959,2015-10-27,94000.0,40,45,2015,10,27,2021-07-26,2099
M,82,c79da41557,2016-12-31,87000.0,80,80,2016,12,31,2021-07-26,1668
M,40,8cc1a1bd30,2013-12-22,57000.0,40,40,2013,12,22,2021-07-26,2773
M,66,83e2ccc1d4,2018-06-17,34000.0,60,65,2018,6,17,2021-07-26,1135
M,52,17c803219d,2018-04-11,63000.0,50,50,2018,4,11,2021-07-26,1202
F,57,791ffe6d3d,2016-03-29,89000.0,50,55,2016,3,29,2021-07-26,1945
M,68,2204f8ff96,2016-06-29,69000.0,60,65,2016,6,29,2021-07-26,1853
M,21,0b9cac742f,2018-03-03,52000.0,20,20,2018,3,3,2021-07-26,1241
M,61,b818e95545,2017-08-15,44000.0,60,60,2017,8,15,2021-07-26,1441
F,58,a9ecb39d93,2018-03-17,54000.0,50,55,2018,3,17,2021-07-26,1227
F,67,0d18c37c8b,2018-06-14,54000.0,60,65,2018,6,14,2021-07-26,1138
M,24,d250372c92,2017-02-12,61000.0,20,20,2017,2,12,2021-07-26,1625
M,26,3cea9c09fe,2017-11-17,35000.0,20,25,2017,11,17,2021-07-26,1347
F,71,87efa556dd,2017-12-07,105000.0,70,70,2017,12,7,2021-07-26,1327
F,69,4e4c47b460,2017-12-12,64000.0,60,65,2017,12,12,2021-07-26,1322
M,81,accec36a10,2018-05-03,93000.0,80,80,2018,5,3,2021-07-26,1180
M,62,d1a6fe4c24,2016-04-05,73000.0,60,60,2016,4,5,2021-07-26,1938
M,38,1eed89c11c,2017-07-09,74000.0,30,35,2017,7,9,2021-07-26,1478
M,61,3f279ee9fd,2017-09-26,82000.0,60,60,2017,9,26,2021-07-26,1399
F,52,2d40e25b82,2017-08-09,92000.0,50,50,2017,8,9,2021-07-26,1447
M,50,9df2790f06,2017-12-25,70000.0,50,50,2017,12,25,2021-07-26,1309
M,54,ae47fbe72b,2017-02-16,118000.0,50,50,2017,2,16,2021-07-26,1621
F,75,018b8f8317,2018-05-02,109000.0,70,75,2018,5,2,2021-07-26,1181
M,82,d2e88e95c0,2018-03-19,73000.0,80,80,2018,3,19,2021-07-26,1225
M,64,aa4a681ea1,2018-07-20,38000.0,60,60,2018,7,20,2021-07-26,1102
F,54,ae40f2f496,2015-10-06,99000.0,50,50,2015,10,6,2021-07-26,2120
M,82,5a3d291f75,2018-01-08,72000.0,80,80,2018,1,8,2021-07-26,1295
M,90,bf2c086d4c,2018-05-09,45000.0,90,90,2018,5,9,2021-07-26,1174
F,34,5b9c1a35c0,2018-04-17,67000.0,30,30,2018,4,17,2021-07-26,1196
M,44,ad3c443c9c,2018-07-18,53000.0,40,40,2018,7,18,2021-07-26,1104
F,79,688e4f2487,2018-07-11,106000.0,70,75,2018,7,11,2021-07-26,1111
F,58,73c157a4b8,2016-12-31,95000.0,50,55,2016,12,31,2021-07-26,1668
F,47,e737ff5911,2016-01-05,74000.0,40,45,2016,1,5,2021-07-26,2029
F,60,9cb34ff9de,2017-11-17,59000.0,60,60,2017,11,17,2021-07-26,1347
M,83,32189735a9,2017-08-07,54000.0,80,80,2017,8,7,2021-07-26,1449
F,74,4e5923e5de,2018-05-17,103000.0,70,70,2018,5,17,2021-07-26,1166
M,89,2c5c71b7bf,2015-09-17,101000.0,80,85,2015,9,17,2021-07-26,2139
M,68,307245a520,2016-03-05,62000.0,60,65,2016,3,5,2021-07-26,1969
F,63,eb834c0938,2017-11-27,110000.0,60,60,2017,11,27,2021-07-26,1337
F,40,f93884685d,2018-07-06,51000.0,40,40,2018,7,6,2021-07-26,1116
F,79,341276cb09,2017-12-17,99000.0,70,75,2017,12,17,2021-07-26,1317
M,71,1817451903,2018-03-21,30000.0,70,70,2018,3,21,2021-07-26,1223
F,76,978d48db5c,2015-09-06,114000.0,70,75,2015,9,6,2021-07-26,2150
M,89,2f442d5255,2016-05-28,96000.0,80,85,2016,5,28,2021-07-26,1885
M,63,044f41cfd9,2017-07-29,36000.0,60,60,2017,7,29,2021-07-26,1458
M,41,031387fa9c,2017-09-22,83000.0,40,40,2017,9,22,2021-07-26,1403
F,71,8c410d84af,2018-04-08,56000.0,70,70,2018,4,8,2021-07-26,1205
M,44,09e7e40eb8,2017-10-11,36000.0,40,40,2017,10,11,2021-07-26,1384
M,25,97b2476046,2016-04-06,73000.0,20,25,2016,4,6,2021-07-26,1937
M,27,0ad8a9771c,2018-03-27,70000.0,20,25,2018,3,27,2021-07-26,1217
M,67,2a01c11fdc,2018-02-12,106000.0,60,65,2018,2,12,2021-07-26,1260
F,77,78e9be059f,2016-02-19,80000.0,70,75,2016,2,19,2021-07-26,1984
F,68,ad4fd34e9f,2015-12-29,66000.0,60,65,2015,12,29,2021-07-26,2036
M,37,0e4e14ea66,2016-04-20,64000.0,30,35,2016,4,20,2021-07-26,1923
M,55,ace4a7611d,2016-03-23,60000.0,50,55,2016,3,23,2021-07-26,1951
M,30,c894971c9e,2016-09-03,54000.0,30,30,2016,9,3,2021-07-26,1787
M,51,e277228d77,2015-08-15,54000.0,50,50,2015,8,15,2021-07-26,2172
F,47,f20277feaa,2018-07-12,92000.0,40,45,2018,7,12,2021-07-26,1110
M,49,6f04a68e93,2018-02-04,48000.0,40,45,2018,2,4,2021-07-26,1268
M,32,27aa749a6f,2015-10-08,38000.0,30,30,2015,10,8,2021-07-26,2118
M,30,ba9fb3e4a7,2017-04-18,69000.0,30,30,2017,4,18,2021-07-26,1560
M,47,00c6035df4,2017-02-25,86000.0,40,45,2017,2,25,2021-07-26,1612
M,34,fffad4f482,2017-01-23,34000.0,30,30,2017,1,23,2021-07-26,1645
F,78,a1ad0bbe76,2017-06-04,101000.0,70,75,2017,6,4,2021-07-26,1513
F,85,50fb5c0c6b,2016-03-02,71000.0,80,85,2016,3,2,2021-07-26,1972
F,75,a97e6f3321,2013-08-06,69000.0,70,75,2013,8,6,2021-07-26,2911
F,76,c6a2cd4fdc,2017-03-11,71000.0,70,75,2017,3,11,2021-07-26,1598
F,89,4c0b938c4e,2015-07-22,59000.0,80,85,2015,7,22,2021-07-26,2196
M,58,4de38d89a9,2018-01-29,70000.0,50,55,2018,1,29,2021-07-26,1274
M,23,5ad59daa0d,2017-10-30,49000.0,20,20,2017,10,30,2021-07-26,1365
M,58,2b91e3c00a,2017-09-16,53000.0,50,55,2017,9,16,2021-07-26,1409
F,64,23bc15e276,2015-10-12,95000.0,60,60,2015,10,12,2021-07-26,2114
M,72,da6c95e567,2017-09-09,39000.0,70,70,2017,9,9,2021-07-26,1416
F,66,fae3fbe975,2017-08-11,72000.0,60,65,2017,8,11,2021-07-26,1445
F,49,7798d98a07,2017-08-09,68000.0,40,45,2017,8,9,2021-07-26,1447
M,43,b21beefac7,2017-04-13,71000.0,40,40,2017,4,13,2021-07-26,1565
M,58,932715eb8a,2018-07-17,39000.0,50,55,2018,7,17,2021-07-26,1105
M,43,cac7e2d5e1,2017-08-06,76000.0,40,40,2017,8,6,2021-07-26,1450
F,56,203831402e,2017-03-29,87000.0,50,55,2017,3,29,2021-07-26,1580
F,69,816f33d96b,2017-10-16,118000.0,60,65,2017,10,16,2021-07-26,1379
O,60,d0be9ff460,2018-02-16,94000.0,60,60,2018,2,16,2021-07-26,1256
M,81,327d08559d,2016-06-01,70000.0,80,80,2016,6,1,2021-07-26,1881
M,42,c610bd0061,2017-04-03,91000.0,40,40,2017,4,3,2021-07-26,1575
M,75,716cff13fc,2015-01-10,71000.0,70,75,2015,1,10,2021-07-26,2389
M,62,c05652fa9d,2018-01-27,73000.0,60,60,2018,1,27,2021-07-26,1276
F,55,fbc039723b,2016-05-05,54000.0,50,55,2016,5,5,2021-07-26,1908
M,65,e1103f6b4c,2017-10-11,39000.0,60,65,2017,10,11,2021-07-26,1384
M,52,b6905df363,2017-02-27,46000.0,50,50,2017,2,27,2021-07-26,1610
F,30,2c3a4de659,2017-10-15,40000.0,30,30,2017,10,15,2021-07-26,1380
F,74,28416e7d96,2015-09-24,75000.0,70,70,2015,9,24,2021-07-26,2132
F,100,24c1287eb7,2015-08-28,63000.0,100,100,2015,8,28,2021-07-26,2159
F,26,a4579681ff,2017-03-24,40000.0,20,25,2017,3,24,2021-07-26,1585
F,56,8a04ab4063,2016-03-28,53000.0,50,55,2016,3,28,2021-07-26,1946
M,50,393e6938e7,2014-10-15,90000.0,50,50,2014,10,15,2021-07-26,2476
M,73,62fb072537,2017-10-08,95000.0,70,70,2017,10,8,2021-07-26,1387
F,49,0acaa564f1,2017-12-10,74000.0,40,45,2017,12,10,2021-07-26,1324
M,37,585fb2dc60,2016-01-09,50000.0,30,35,2016,1,9,2021-07-26,2025
M,65,9b0e7b326e,2016-02-12,57000.0,60,65,2016,2,12,2021-07-26,1991
F,64,aec532a91d,2016-02-25,81000.0,60,60,2016,2,25,2021-07-26,1978
F,48,9c64321646,2016-10-14,53000.0,40,45,2016,10,14,2021-07-26,1746
M,20,4e6eb10de9,2015-08-12,32000.0,20,20,2015,8,12,2021-07-26,2175
M,46,e89dce9d75,2018-07-23,40000.0,40,45,2018,7,23,2021-07-26,1099
M,24,e08a264dc9,2015-04-27,69000.0,20,20,2015,4,27,2021-07-26,2282
M,71,a4ac99af1b,2015-08-26,95000.0,70,70,2015,8,26,2021-07-26,2161
F,50,f8362fcaa4,2018-05-25,78000.0,50,50,2018,5,25,2021-07-26,1158
M,37,676506bad6,2017-05-15,92000.0,30,35,2017,5,15,2021-07-26,1533
F,57,b7658a8eab,2016-05-22,81000.0,50,55,2016,5,22,2021-07-26,1891
M,52,a8719d4d30,2014-04-25,85000.0,50,50,2014,4,25,2021-07-26,2649
M,41,bd215efd78,2016-08-24,41000.0,40,40,2016,8,24,2021-07-26,1797
F,66,f5e5983562,2017-06-18,74000.0,60,65,2017,6,18,2021-07-26,1499
F,66,f970eafddc,2015-10-01,87000.0,60,65,2015,10,1,2021-07-26,2125
F,68,c4a3c86c7b,2017-10-25,120000.0,60,65,2017,10,25,2021-07-26,1370
M,20,4bbcb71a7f,2016-03-08,70000.0,20,20,2016,3,8,2021-07-26,1966
M,43,9ef935700f,2017-07-04,42000.0,40,40,2017,7,4,2021-07-26,1483
M,73,32fbf97e89,2017-12-12,38000.0,70,70,2017,12,12,2021-07-26,1322
F,42,68081ac19e,2017-05-29,56000.0,40,40,2017,5,29,2021-07-26,1519
M,82,b268f71b99,2016-06-04,110000.0,80,80,2016,6,4,2021-07-26,1878
F,70,01ef4c6618,2017-11-09,92000.0,70,70,2017,11,9,2021-07-26,1355
F,42,7a7aece75d,2017-10-10,71000.0,40,40,2017,10,10,2021-07-26,1385
M,48,8f7dd3b2af,2015-09-03,62000.0,40,45,2015,9,3,2021-07-26,2153
F,53,8b5ae6d654,2015-09-10,93000.0,50,50,2015,9,10,2021-07-26,2146
M,64,66ccb31b29,2018-03-04,67000.0,60,60,2018,3,4,2021-07-26,1240
M,79,dd0fe73d5e,2018-01-23,90000.0,70,75,2018,1,23,2021-07-26,1280
M,51,b0be9b4679,2016-05-11,55000.0,50,50,2016,5,11,2021-07-26,1902
F,45,713a1ea744,2018-01-20,88000.0,40,45,2018,1,20,2021-07-26,1283
F,48,f8756fc0ee,2016-06-02,105000.0,40,45,2016,6,2,2021-07-26,1880
F,54,01e8739670,2015-10-24,119000.0,50,50,2015,10,24,2021-07-26,2102
M,52,5e97488a58,2018-07-10,48000.0,50,50,2018,7,10,2021-07-26,1112
M,28,e6590c7f95,2013-09-24,68000.0,20,25,2013,9,24,2021-07-26,2862
M,69,bb9cf26ad4,2014-05-02,47000.0,60,65,2014,5,2,2021-07-26,2642
M,73,0861b9ca31,2017-06-27,92000.0,70,70,2017,6,27,2021-07-26,1490
F,67,eefbc1aac0,2017-08-13,71000.0,60,65,2017,8,13,2021-07-26,1443
F,76,cc40aaa447,2018-06-13,34000.0,70,75,2018,6,13,2021-07-26,1139
F,55,c34eaeb9e6,2015-11-21,53000.0,50,55,2015,11,21,2021-07-26,2074
F,89,69b02748e2,2018-06-23,83000.0,80,85,2018,6,23,2021-07-26,1129
M,57,717a423a31,2018-04-29,41000.0,50,55,2018,4,29,2021-07-26,1184
F,54,ca900921cf,2018-02-11,70000.0,50,50,2018,2,11,2021-07-26,1261
M,58,b4a4a6b964,2017-12-27,73000.0,50,55,2017,12,27,2021-07-26,1307
M,49,1e78f244ca,2017-11-23,39000.0,40,45,2017,11,23,2021-07-26,1341
F,73,07ebe89c87,2018-05-07,79000.0,70,70,2018,5,7,2021-07-26,1176
F,58,371d6b3a98,2017-02-19,76000.0,50,55,2017,2,19,2021-07-26,1618
M,51,ea8a1cb1c5,2017-12-14,70000.0,50,50,2017,12,14,2021-07-26,1320
M,74,709189c472,2016-04-18,78000.0,70,70,2016,4,18,2021-07-26,1925
M,53,c0f9e4bb1f,2015-09-06,95000.0,50,50,2015,9,6,2021-07-26,2150
M,61,9e0369f104,2018-02-27,32000.0,60,60,2018,2,27,2021-07-26,1245
M,41,acc3bb6913,2017-10-24,55000.0,40,40,2017,10,24,2021-07-26,1371
F,64,8899cbcaf3,2017-10-08,95000.0,60,60,2017,10,8,2021-07-26,1387
M,42,cda87c53c8,2017-09-08,75000.0,40,40,2017,9,8,2021-07-26,1417
M,50,be2b393781,2016-04-26,57000.0,50,50,2016,4,26,2021-07-26,1917
M,60,e8f6590b49,2017-09-03,56000.0,60,60,2017,9,3,2021-07-26,1422
F,57,7da4476ec7,2016-04-08,83000.0,50,55,2016,4,8,2021-07-26,1935
F,39,a0f63f6e12,2017-04-07,54000.0,30,35,2017,4,7,2021-07-26,1571
F,57,b3ad8755d0,2016-08-27,67000.0,50,55,2016,8,27,2021-07-26,1794
M,57,fe23d94e17,2017-12-16,71000.0,50,55,2017,12,16,2021-07-26,1318
M,68,4c51ba3886,2016-03-18,51000.0,60,65,2016,3,18,2021-07-26,1956
F,83,813f7ade94,2015-09-10,114000.0,80,80,2015,9,10,2021-07-26,2146
